race;sex;belief
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;undecided
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
white;male;no
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;yes
black;female;undecided
black;female;undecided
black;female;undecided
black;female;undecided
black;female;undecided
black;female;undecided
black;female;undecided
black;female;undecided
black;female;undecided
black;female;no
black;female;no
black;female;no
black;female;no
black;female;no
black;female;no
black;female;no
black;female;no
black;female;no
black;female;no
black;female;no
black;female;no
black;female;no
black;female;no
black;female;no
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;yes
black;male;undecided
black;male;undecided
black;male;undecided
black;male;undecided
black;male;undecided
black;male;no
black;male;no
black;male;no
black;male;no
black;male;no
black;male;no
black;male;no
black;male;no
black;male;no
black;male;no
black;male;no
black;male;no
black;male;no
